,IN_p3d,IN_p2d,IN_p1d,IN,MEAN_7d,SD_7d,Prec_S,Prec_S_f1d,Prec_S_f2d,Prec_S_f3d,Snow_S
75,0.0840379236938907,0.0505430970258105,0.0819394872221603,0.0376883597415573,0.0546700794880391,0.0175212252706277,0.0,0.0,0.0,0.0,0
76,0.0394634046645361,0.0840379236938907,0.0505430970258105,0.0819394872221603,0.0560139247109749,0.0190113843503583,0.0,0.0,0.0,0.0,0
77,0.0394634046645361,0.0394634046645361,0.0840379236938907,0.0505430970258105,0.0552650589535807,0.0198740906621445,0.0,0.0,0.0,0.0,0
78,0.0569515781273404,0.0394634046645361,0.0394634046645361,0.0840379236938907,0.0603124854528508,0.0198803795102064,0.0,0.0,0.0,0.0,0
79,0.0639285281336559,0.0569515781273404,0.0394634046645361,0.0394634046645361,0.0567269896945553,0.0183252956455149,0.0,0.0,0.0,0.0,0
80,0.0368799576482988,0.0639285281336559,0.0569515781273404,0.0394634046645361,0.0555997918013896,0.0169841156959306,0.0,0.0,0.0,0.0,0
81,0.0460497050507073,0.0368799576482988,0.0639285281336559,0.0569515781273404,0.0557267507342616,0.0171779456738794,0.0,0.0,0.0,0.0,0
82,0.0633978343100636,0.0460497050507073,0.0368799576482988,0.0639285281336559,0.0594753462188471,0.0117578033790573,0.0,0.0,0.0,0.0,0
83,0.0539102234195661,0.0633978343100636,0.0460497050507073,0.0368799576482988,0.0530382705654384,0.0109535815441914,0.0,0.0,0.0,0.0,0
84,0.0536273709823389,0.0539102234195661,0.0633978343100636,0.0460497050507073,0.0523963574261379,0.00957899903447936,0.0,0.0,0.0,0.0,0
85,0.0452361587898879,0.0536273709823389,0.0539102234195661,0.0633978343100636,0.0494477732284483,0.00990062677403632,0.0,0.0,0.0,0.0,0
86,0.0366321162619337,0.0452361587898879,0.0536273709823389,0.0539102234195661,0.0515116044791669,0.00972974632665068,0.0,0.0,0.0,0.0,0
87,0.0235696928097383,0.0366321162619337,0.0452361587898879,0.0536273709823389,0.05353502823885299,0.0130055714863968,0.0,0.0,0.0,0.0,0
